what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1276549471879
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1276549471891
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1276549471906
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1276549471919
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.101.R35x_v20091214,"org.eclipse.equinox.frameworkadmin.equinox",1276549471921
started,bundle,org.eclipse.equinox.p2.director,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.director",1276549471929
started,bundle,org.eclipse.equinox.p2.engine,1.0.102.R35x_v20091117,"org.eclipse.equinox.p2.engine",1276549471930
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1276549471941
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1276549471948
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1276549471948
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1276549471959
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1276549471972
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1276549471982
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1276549472034
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1276549472041
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1276549472066
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1276549472083
started,bundle,org.python.pydev,1.5.7.2010050621,"org.python.pydev",1276549472097
started,bundle,org.python.pydev.core,1.5.7.2010050621,"org.python.pydev.core",1276549472123
os,sysinfo,,,"linux",1276549472127
arch,sysinfo,,,"x86_64",1276549472127
ws,sysinfo,,,"gtk",1276549472127
locale,sysinfo,,,"iw_IL",1276549472127
processors,sysinfo,,,"2",1276549472127
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1276549472127
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1276549472127
java.specification.name,sysinfo,,,"Java Platform API Specification",1276549472127
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1276549472127
java.specification.version,sysinfo,,,"1.6",1276549472127
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1276549472127
java.version,sysinfo,,,"1.6.0_20",1276549472127
java.vm.info,sysinfo,,,"mixed mode",1276549472127
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1276549472127
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1276549472127
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1276549472127
java.vm.specification.version,sysinfo,,,"1.0",1276549472127
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1276549472127
java.vm.version,sysinfo,,,"16.3-b01",1276549472127
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1276549472257
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1276549472349
started,bundle,org.eclipse.team.svn.mylyn,0.7.8.I20091023-1300,"org.eclipse.team.svn.mylyn",1276549472367
started,bundle,org.eclipse.team.svn.core,0.7.8.I20091023-1300,"org.eclipse.team.svn.core",1276549472574
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20100512-1900,"org.polarion.eclipse.team.svn.connector.svnkit16",1276549472721
started,bundle,org.polarion.eclipse.team.svn.connector.javahl16,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.javahl16",1276549473050
started,bundle,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui",1276549473599
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276549514669
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1276549514700
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1276549521564
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276549524476
